,CTD-2026A21.1,MSMB,FBP2,LINC00992,NLRP4,Lnc-KY-2,CDH16,MUC16,PDZK1IP1,Lnc-GJA10-4,PRSS8,LINC01088,CPA6,CTSE,LIPI,AGR2,IGHVII-60-1,CAMP,SDR16C5,TMPRSS2,Lnc-SAMSN1-2,LMO3,TMEM125,LINC01747,CCDC85A,Lnc-MEF2C-4,TSPAN1,ALOX15,KCNQ1OT1,VWCE,ABCA9,Lnc-PABPN1L-1,CFAP91,SPTBN2,KCNJ2,WNT9A,TBC1D27P,CASP5,LINC01415,Lnc-IRF2BP2-1,PTBP1P,BCL2L10,TMEM132B,ACOD1,MYOCD,SACS-AS1,CLASS
S4_1,0,0,3,0,6.615,0,1,2,0,2,2,2,2.585,0,3,0,0,5.931,1.585,1.585,4,1,1,1.585,2.322,0,3.459,4.17,8.98,8.524,10.55,6.109,3,5.833,5.644,9.285,12.24,2.585,4.644,4.755,7.707,5.129,3.322,0,11.06,11.55,1
S4_2,0,1,0,0,0,0,1,4.459,2,1,2.585,0,3.807,4.858,2.807,4,0,5.248,2.585,2.807,0,2,1,2,1.585,3.322,4.392,3.459,8.155,9.157,6.555,7.322,6.845,8.285,7.679,8.492,12.47,5.129,7.762,4.7,6,8.725,2.322,4.248,11.07,0,1
S4_3,0,1,1,0,4.907,0,2.585,7.948,4.644,2.585,2,1.585,0,0,3.322,2.807,0,7.2,1.585,3.17,2.585,4.524,3.807,4.17,0,2.585,5.755,3.459,6.672,5.426,6.943,6.248,4.585,4.907,9.699,5.755,5.248,8.271,4.954,0,4.322,1.585,4.087,8.895,2.322,0,1
S4_4,0,0,2.585,0,0,0,0,3.322,1,1.585,2.322,0,1,1,2.807,1,1,5.615,3.17,1,2.322,3.459,0,2.807,1.585,0,3.7,5.087,7.516,7.15,10.96,6.375,6.19,9.047,11.3,10.02,10.92,9.607,6.687,5.248,4.322,3.807,3.17,11.59,8.943,10.03,1
S4_5,0,0,0,0,11.58,0,0,9.733,1.585,0,0,2.807,1,2.585,1,2.585,1,7.109,3.907,1,0,2,1,2.585,1,1.585,4.087,7.794,6.15,8.124,5.672,4.7,1.585,3.807,4.392,4,2.807,1,0,1,0,1,9.836,2.585,9.656,0,1
S4_6,0,0,0,1,5.087,0,0,3.7,2.585,1.585,2.322,1.585,2,2.807,4,0,0,3.322,0,0,2.585,4.17,1.585,2,2.585,0,3.459,3.17,8.877,9.008,8.044,4.807,6.409,10.45,9.355,7.492,12.34,8.19,6.781,5.358,7.508,1.585,3.17,7.087,6.322,0,1
S4_7,0,1,1,1,3.585,1,1,0,4.459,0,2.585,1.585,4.248,4,1,1,1.585,6.392,4.087,2.322,3.17,1,2.585,3.322,2,1,5.524,5.426,8.945,9.866,8.934,4.459,8.655,9.844,8.852,8.317,11.99,6.931,5.426,5.044,5.615,9.617,6.34,4.907,11.99,10.02,1
S4_8,0,0,0,0,4.248,0,0,6.209,0,0,0,0,1.585,0,2.585,0,0,8.234,2.322,2.322,1,1,1,2.807,2,2.322,3,3.585,7.267,9.687,7.845,6.044,9.069,10.24,10.28,8.19,10.82,9.392,7.257,2,6.555,9.369,10.77,10.04,8.618,0,1
S4_9,0,0,0,0,2.585,0,2,5.426,1.585,2.322,2.807,2.585,2.585,2.807,1.585,1.585,0,7.748,4.524,2.322,2.585,3,5.977,1.585,0,7.7,5.555,4.644,6.17,8.028,8.898,5.322,4.524,8.907,7.807,8.061,10.08,2.807,4.7,6.687,3.17,5.459,3,1.585,4.807,0,1
S4_10,0,0,0,0,6.7,0,0,3.585,1.585,0,2.807,0,4,2.322,0,1,0,6.248,2.585,1.585,2.322,1,2,1.585,2,0,5.555,4.524,6,7.508,5.833,7.119,6.285,5.555,6.409,3.322,6.087,5.977,0,7.539,3,2,8.626,5.044,6.285,2,1
S4_11,0,0,3.17,0,1.585,1,1,4,2.807,0,4.17,2,2.322,5,1,3.459,0,5.285,2,1.585,3.459,2,2,0,0,0,5.833,5.672,7.033,9.386,6.57,4.248,7.768,8.362,7.229,4.392,11.39,4.585,1.585,4,5.322,7.948,5.977,1.585,3,1,1
S4_12,0,1,1,0,1,0,0,2.807,3.585,3.17,2.322,2,4.755,3.585,1,0,0,9.299,3.17,3.17,4.524,3.907,2,2.807,3.17,1,5.644,3.17,8.15,4.755,7.87,6.555,7.098,5.492,7.033,6.129,8.344,2.807,4.755,2.807,7.349,2,12.54,0,3,2.807,1
S1_1,4.644,6.19,0,3.322,7.468,0,6.17,9.49,9.358,7.665,8.551,8.704,3.17,9.231,7.889,6.443,4.524,10.9,6.358,5.907,7.845,7.392,6.248,3.7,3.17,4.087,9.281,4.755,4.954,5.392,4.585,1,3.7,3.907,4.392,3.585,5.087,1.585,0,0,1,0,3.459,2,1.585,0,0
S1_2,0,0,6.883,2.322,4.907,1,7.392,6.087,8.983,0,8.858,10.67,4.322,9.794,8.2,4.087,1,13.07,7.547,6.728,6.931,8.655,7.768,2.585,3.17,3,9.587,3.7,4.17,6.229,5.555,2.585,4.585,4.954,5.17,2.807,7.889,3.322,0,0,1.585,2.585,3.807,2.585,2.322,0,0
S1_3,0,0,7.384,4,9.306,6.19,1,12.7,2,7.098,0,3,2,3.807,2,2,0,8.922,7.788,1.585,4.087,7.066,1.585,1,8.022,6.492,4.858,7.721,6.658,6.426,5,3.459,4.17,5.781,7.451,4.907,6.768,3.459,3,2.807,1.585,1.585,6.322,1.585,1.585,0,0
S1_4,0,6.781,9.399,5.781,10.94,3.807,1,5.954,4.248,0,3.807,2.322,9.591,0,0,3.17,1.585,10.6,9.17,4.7,6.459,5.322,3.459,7.392,1,6,6.57,9.833,4.7,4.524,5.555,2.807,3,4.087,3.322,4.907,1,2.322,1,2.322,1,1,9.207,1,3.17,0,0
S1_5,0,9.765,2.322,0,8.589,0,1,2.585,6.443,2.322,6.443,2.585,6.229,6.989,1,9.16,3.322,13.38,5.755,6.392,7.96,4.585,4.392,0,5.492,4.459,9.384,5.358,5.087,5.087,5.585,1,3.7,3.907,5.7,4.644,6.845,4.807,3,1,1,2,2.322,3.807,3.322,0,0
S1_6,3.807,7.807,1,3,0,1.585,0,8.304,2.322,0,4.907,1,2,2.585,0,5.129,3,5.977,2,6.34,0,1,3,5.755,0,1,7.011,1.585,3.7,4.524,4.392,3,2,4,3.322,4.248,7.555,0,0,0,1,3.322,0,0,2,0,0
S1_7,8.044,0,3.7,0,13.49,4.858,6.644,13.38,6.6,5.129,2.585,2.322,0,3.807,7.901,4.585,3,8.679,0,2,1,4.392,3,8.331,5.907,3.7,4.248,8.134,5.858,6.943,7.098,3.17,2.322,6.82,5.044,3,3.585,2.585,1.585,2,1.585,3,4.7,0,2.322,0,0
S1_8,0,1,4.755,1,9.959,1.585,0,1.585,0,6.087,2.585,2.322,8.943,1.585,0,1,2.585,8.409,4.17,0,3.907,1.585,3.322,2,1,3.322,3.907,5.883,5.807,6.129,5.285,3.807,3.807,4.17,5.087,3.907,7.066,3.459,1.585,1,2.807,3,3.807,1.585,4.248,0,0
